"Campaign Name","Ad Set Name","Ad Name","Time of Day (Viewer's Time Zone)",Day,Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (INR)","Cost per Result",Starts,Ends,"Result Rate","Clicks (All)","CTR (All)","CPM (Cost per 1,000 Impressions)","Reporting Starts","Reporting Ends"
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"08:00:00 - 08:59:59",2020-10-06,498,514,1.0321285140562,"On-Facebook Leads",1,45.95,45.95,2020-10-01,Ongoing,0.19455252918288,11,2.14007782,89.39688716,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"05:00:00 - 05:59:59",2020-10-06,511,520,1.0176125244618,,,43.7,,2020-10-01,Ongoing,,13,2.5,84.03846154,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"23:00:00 - 23:59:59",2020-10-06,406,406,1,,,44.11,,2020-10-01,Ongoing,,7,1.72413793,108.6453202,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"18:00:00 - 18:59:59",2020-10-06,560,582,1.0392857142857,,,49.46,,2020-10-01,Ongoing,,5,0.85910653,84.98281787,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"10:00:00 - 10:59:59",2020-10-06,729,729,1,"On-Facebook Leads",1,64.12,64.12,2020-10-01,Ongoing,0.13717421124829,6,0.82304527,87.95610425,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"19:00:00 - 19:59:59",2020-10-06,577,596,1.0329289428076,,,52.68,,2020-10-01,Ongoing,,3,0.5033557,88.38926174,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"09:00:00 - 09:59:59",2020-10-06,770,777,1.0090909090909,,,69.18,,2020-10-01,Ongoing,,1,0.12870013,89.03474903,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"12:00:00 - 12:59:59",2020-10-06,751,754,1.0039946737683,,,60.75,,2020-10-01,Ongoing,,5,0.66312997,80.57029178,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"13:00:00 - 13:59:59",2020-10-06,726,729,1.004132231405,,,55.42,,2020-10-01,Ongoing,,10,1.37174211,76.02194787,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"21:00:00 - 21:59:59",2020-10-06,860,860,1,,,80.8,,2020-10-01,Ongoing,,10,1.1627907,93.95348837,2020-10-06,2020-10-06
